Business Name,Phone Number,Full Address,Website,Rating,Total Reviews,Google Maps URL
Uttam Institute of Technology and Management,081714 00500,"Kirawali Road, Agra, Runkata, Uttar Pradesh 282007",http://www.uttaminstitute.ac.in/,4.6,0,https://www.google.com/maps/place/Uttam+Institute+of+Technology+and+Management/data=!4m7!3m6!1s0x397386370bfc3e61:0xdad9b5cc957a63e8!8m2!3d27.227532!4d77.872518!16s%2Fg%2F11gjtzsybb!19sChIJYT78CzeGczkR6GN6lcy12do?authuser=0&hl=en&rclk=1
Agra College,N/A,"Mahatma Gandhi Rd, Mantola, Agra, Uttar Pradesh 282002",http://www.agracollegeagra.org.in/,3.9,0,https://www.google.com/maps/place/Agra+College/data=!4m7!3m6!1s0x397477243ddf08a1:0xf0ae3962225bbfc5!8m2!3d27.186776!4d78.0022655!16s%2Fm%2F0660yrw!19sChIJoQjfPSR3dDkRxb9bImI5rvA?authuser=0&hl=en&rclk=1
St. John's College,0562 324 7846,"Saket Mall, 5, Mahatma Gandhi Rd, Gandhi Nagar, Civil Lines, Agra, Uttar Pradesh 282002",N/A,4.3,0,https://www.google.com/maps/place/St.+John%27s+College/data=!4m7!3m6!1s0x3974773f18e8f7f7:0xa415da8f16d2daf3!8m2!3d27.193875!4d78.002463!16zL20vMGg0Ynlw!19sChIJ9_foGD93dDkR89rSFo_aFaQ?authuser=0&hl=en&rclk=1
"Baikunthi Devi Kanya Mahavidyalaya, Agra",0562 246 1834,"52C8+XG5, Police Chowki Road Rakabganj Nai basti, Baluganj, Agra, Uttar Pradesh 282001",http://www.bdkmvagra.co.in/,4.0,0,"https://www.google.com/maps/place/Baikunthi+Devi+Kanya+Mahavidyalaya,+Agra/data=!4m7!3m6!1s0x397476d39aaaaaab:0x1af2ed91102c21cc!8m2!3d27.1723999!4d78.0163629!16s%2Fg%2F1v3lnbwv!19sChIJq6qqmtN2dDkRzCEsEJHt8ho?authuser=0&hl=en&rclk=1"
Shanti mangalick college of Nursing and Paramedical Agra,0562 233 0104,"Shanti Mangalick Hospital Campus, Tajganj, Agra, Basai, Uttar Pradesh 282006",http://www.shantimangalicknursingcollege.com/,4.5,0,https://www.google.com/maps/place/Shanti+mangalick+college+of+Nursing+and+Paramedical+Agra/data=!4m7!3m6!1s0x3974716be6fbe46d:0xa6f8f6c6dbfdbc4e!8m2!3d27.15736!4d78.0555308!16s%2Fg%2F11hfjvl90q!19sChIJbeT75mtxdDkRTrz928b2-KY?authuser=0&hl=en&rclk=1
Gyan Bharti College Of Education,094104 23311,"Rajrai Rd, opp. Nalanda Town, Village Rajrai, Agra, Uttar Pradesh 282004",N/A,3.3,0,https://www.google.com/maps/place/Gyan+Bharti+College+Of+Education/data=!4m7!3m6!1s0x397473dcf0863387:0x1f27192ebf67953f!8m2!3d27.1197891!4d78.047534!16s%2Fg%2F11dxlg20f_!19sChIJhzOG8NxzdDkRP5Vnvy4ZJx8?authuser=0&hl=en&rclk=1
Shri Bhagwan Singh Girls College Of Education And Technology,099278 55587,"Akbarpur, Agra, Uttar Pradesh 283125",https://sbsgcagra.org.in/,4.7,0,https://www.google.com/maps/place/Shri+Bhagwan+Singh+Girls+College+Of+Education+And+Technology/data=!4m7!3m6!1s0x39747235e33ecbb1:0x1544ee54f6471b5e!8m2!3d27.1103793!4d78.0710686!16s%2Fg%2F11bbwltskp!19sChIJscs-4zVydDkRXhtH9lTuRBU?authuser=0&hl=en&rclk=1
IIMT Group Of Colleges I Estd-1989 I Best Paramedical College in Agra I Agra`s First Paramedical College.,086502 90222,"Bye Pass Road Near, Khandari Crossing, Ganesh Nagar, Lawyer's Colony, Agra, Uttar Pradesh 282005",https://www.iimtgroupofcollege.com/,3.9,0,https://www.google.com/maps/place/IIMT+Group+Of+Colleges+I+Estd-1989+I+Best+Paramedical+College+in+Agra+I+Agra%60s+First+Paramedical+College./data=!4m7!3m6!1s0x397477604eafd915:0x89e3c0a653e8c871!8m2!3d27.2169114!4d77.9941435!16s%2Fg%2F1hm2d9s7b!19sChIJFdmvTmB3dDkRccjoU6bA44k?authuser=0&hl=en&rclk=1
S.R. Degree College,097195 14070,"42PJ+FCJ, Ukharra Rd, Sainik Nagar, Agra, Kahrai, Uttar Pradesh 282001",http://srdcagra.in/,3.6,0,https://www.google.com/maps/place/S.R.+Degree+College/data=!4m7!3m6!1s0x3974715096ec6833:0x878db7ec06bd87d3!8m2!3d27.13621!4d78.0310117!16s%2Fg%2F1hjh99bb3!19sChIJM2jsllBxdDkR04e9Buy3jYc?authuser=0&hl=en&rclk=1
"Institute of Engineering & Technology, Khandari, Agra",N/A,"NH2, Khandari Crossing, Near, Khandari, Agra, Uttar Pradesh 282002",https://ietagra.org.in/,4.0,0,"https://www.google.com/maps/place/Institute+of+Engineering+%26+Technology,+Khandari,+Agra/data=!4m7!3m6!1s0x39747766625cce3f:0x9eb5b271353779a9!8m2!3d27.2095595!4d77.992047!16s%2Fg%2F11b7lmj72l!19sChIJP85cYmZ3dDkRqXk3NXGytZ4?authuser=0&hl=en&rclk=1"
St.George's College,N/A,"3 Garden Road Baluganj, Agra Cantt, Agra, Uttar Pradesh 282001",http://www.stgeorgescollegeagra.com/,4.2,0,https://www.google.com/maps/place/St.George%27s+College/data=!4m7!3m6!1s0x397476d3b2130897:0xeef3eabf6d587d3!8m2!3d27.1652633!4d78.0153021!16s%2Fm%2F0gmfr4p!19sChIJlwgTstN2dDkR04fV9qs-7w4?authuser=0&hl=en&rclk=1
Sai Nath College,084394 55408,"MDR 113W, Near Bhole Baba Dairy, Baroli Ahir, Agra, Uttar Pradesh 282004",N/A,3.7,0,https://www.google.com/maps/place/Sai+Nath+College/data=!4m7!3m6!1s0x397473d77cd4d74b:0x2934907aac3225fe!8m2!3d27.1274763!4d78.0539942!16s%2Fg%2F1td3dfg_!19sChIJS9fUfNdzdDkR_iUyrHqQNCk?authuser=0&hl=en&rclk=1
Srimati B.D. Jain Girls PG College,0562 222 6325,"5269+FF9, Dipak Rd, Agra Cantt, Idgah Colony, Agra, Uttar Pradesh 282001",http://www.bdjainagra.com/,3.9,0,https://www.google.com/maps/place/Srimati+B.D.+Jain+Girls+PG+College/data=!4m7!3m6!1s0x397476cbcdbd688d:0x4de2bebb3b9e8fcf!8m2!3d27.1611536!4d78.0187403!16s%2Fg%2F1tp0c23n!19sChIJjWi9zct2dDkRz4-eO7u-4k0?authuser=0&hl=en&rclk=1
Krishna College Of Science And Rural Technology,094120 64648,"Fatehabad Rd, Agra, Bamrauli Katara, Uttar Pradesh 282006",http://krishnacollegegroup.org/,3.9,0,https://www.google.com/maps/place/Krishna+College+Of+Science+And+Rural+Technology/data=!4m7!3m6!1s0x39747203f3c0387f:0xad7280280acef015!8m2!3d27.1300578!4d78.1039738!16s%2Fg%2F1hc40_qgn!19sChIJfzjA8wNydDkRFfDOCiiAcq0?authuser=0&hl=en&rclk=1
New Sharwood Inter College,N/A,"42WW+J3H, Nehru Enclave, Agra, Uttar Pradesh 282001",N/A,4.1,0,https://www.google.com/maps/place/New+Sharwood+Inter+College/data=!4m7!3m6!1s0x39747168e4eeaaab:0x687a7554f3f7ebec!8m2!3d27.1465625!4d78.0452344!16s%2Fg%2F11b8c4g6sz!19sChIJq6ru5GhxdDkR7Ov381R1emg?authuser=0&hl=en&rclk=1
Dr Bhimrao Ambedkar University,N/A,"Paliwal Park, Kamla Nagar, Civil Lines, Agra, Uttar Pradesh 282003",http://dbrau.ac.in/,3.1,0,https://www.google.com/maps/place/Dr+Bhimrao+Ambedkar+University/data=!4m7!3m6!1s0x397470ac00000001:0x5049a955812254cd!8m2!3d27.1985751!4d78.0151049!16s%2Fm%2F02qps71!19sChIJAQAAAKxwdDkRzVQigVWpSVA?authuser=0&hl=en&rclk=1
Nagar Nigam Inter College Tajganj Agra,094100 00234,"Miyan Nazir Rd, Purani Mandi, Tajganj, Agra, Uttar Pradesh 282001",N/A,3.8,0,https://www.google.com/maps/place/Nagar+Nigam+Inter+College+Tajganj+Agra/data=!4m7!3m6!1s0x3974712309bd3ae7:0x659dafbf9d329f0c!8m2!3d27.1674535!4d78.0385903!16s%2Fg%2F1w0h5x_t!19sChIJ5zq9CSNxdDkRDJ8ynb-vnWU?authuser=0&hl=en&rclk=1
